id,資産区分,所属名,資産名称,用途,所在地,取得年月日,取得価額等,耐用年数,減価償却累計額,数量,財産区分
1,無形固定資産／ソフトウェア,財産活用課,職員駐車場管理システム,著作権,福岡県福岡市博多区東公園７番７号,2010/03/30,"6,738,750",5年,"6,738,750",1,普通財産
2,無形固定資産／ソフトウェア,総務事務厚生課,福岡県職員住宅・駐車場管理システム,著作権,福岡県福岡市　博多区東公園,1999/01/31,"8,284,500",5年,"8,284,500",1,普通財産
3,無形固定資産／ソフトウェア,食の安全・地産地消課,ふくおかの食材取引システム,著作権,福岡県福岡市博多区東公園,2015/03/31,"9,771,840",5年,"9,771,840",1,普通財産
4,無形固定資産／ソフトウェア,工業技術センター機械電子研究所,コンピューターソフト,その他,北九州市八幡西区則松3丁目6-1,2012/07/04,"6,195,000",5年,"6,195,000",1,―
5,無形固定資産／ソフトウェア,工業技術センター機械電子研究所,コンピューターソフト,その他,北九州市八幡西区則松3丁目6-1,2012/07/11,"8,463,000",5年,"8,463,000",1,―
6,無形固定資産／ソフトウェア,工業技術センター機械電子研究所,コンピューターソフト,その他,北九州市八幡西区則松3丁目6-1,2015/08/31,"6,372,000",5年,"6,372,000",1,―
7,無形固定資産／ソフトウェア,都市計画課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2016/03/31,"2,732,400",5年,"2,732,400",1,―
8,無形固定資産／ソフトウェア,教　体育スポーツ健康課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2013/12/27,"3,335,700",5年,"3,335,700",1,―
9,無形固定資産／ソフトウェア,刑事部刑事総務課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2011/09/27,"1,218,000",5年,"1,218,000",1,―
10,無形固定資産／ソフトウェア,刑事部刑事総務課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2011/09/27,"1,218,000",5年,"1,218,000",1,―
11,無形固定資産／ソフトウェア,刑事部刑事総務課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2011/09/27,"1,218,000",5年,"1,218,000",1,―
12,無形固定資産／ソフトウェア,刑事部刑事総務課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2011/09/27,"1,218,000",5年,"1,218,000",1,―
13,無形固定資産／ソフトウェア,刑事部刑事総務課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2011/09/27,"1,218,000",5年,"1,218,000",1,―
14,無形固定資産／ソフトウェア,警備部公安第一課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2016/03/07,"1,749,600",5年,"1,749,600",1,―
15,無形固定資産／ソフトウェア,警備部公安第一課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2016/03/07,"1,749,600",5年,"1,749,600",1,―
16,無形固定資産／ソフトウェア,情報政策課,コンピューターソフト,その他,福岡市博多区東公園7番7号,2015/10/30,"8,434,800",5年,"8,434,800",1,―
17,無形固定資産／ソフトウェア,会計管理局会計課,地方公会計システム,著作権,福岡県福岡市　博多区東公園,2017/03/31,"11,880,000",5年,"9,705,779",1,普通財産
18,無形固定資産／ソフトウェア,総務事務厚生課,財務会計システム,著作権,福岡県福岡市　博多区東公園,2017/03/31,"27,680,400",5年,"22,614,497",1,普通財産
19,無形固定資産／ソフトウェア,香椎工業高等学校,コンピューターソフト,その他,福岡市東区香椎駅東2丁目23-1,2017/03/03,"1,120,211",5年,"915,171",1,―
20,無形固定資産／ソフトウェア,香椎工業高等学校,コンピューターソフト,その他,福岡市東区香椎駅東2丁目23-1,2017/03/03,"1,120,211",5年,"915,171",1,―
21,無形固定資産／ソフトウェア,福岡高等技術専門校,ＣＡＤシステム,その他,福岡市東区千早4丁目24番1号,2018/03/15,"15,120,000",5年,"9,328,804",1,―
22,無形固定資産／ソフトウェア,戸畑高等技術専門校,ＣＡＤシステム,その他,北九州市戸畑区東大谷2丁目1-1,2018/03/14,"20,952,000",5年,"12,927,080",1,―
23,無形固定資産／ソフトウェア,総務事務厚生課,財務会計システム,著作権,福岡県福岡市　博多区東公園,2017/12/28,"4,212,000",5年,"2,806,347",1,普通財産
24,無形固定資産／ソフトウェア,総務事務厚生課,財務会計システム,著作権,福岡県福岡市　博多区東公園,2019/03/29,"33,048,000",5年,"13,780,548",1,普通財産
25,無形固定資産／ソフトウェア,保健環境研究所,コンピューターソフト,その他,太宰府市大字向佐野39,2020/03/18,"1,463,000",5年,"317,369",1,―
26,無形固定資産／ソフトウェア,総務事務厚生課,財務会計システム,著作権,福岡県福岡市　博多区東公園,2020/03/31,"46,123,000",5年,"10,005,893",1,普通財産
27,無形固定資産／ソフトウェア,総務事務厚生課,財務会計システム,著作権,福岡県福岡市　博多区東公園,2021/03/31,"18,645,000",5年,"316,696",1,普通財産
28,無形固定資産／その他,アジア文化交流センター,アジア文化交流センター用益物権,地上権,福岡県太宰府市宰府四丁目９３４番７,2006/07/28,"94,823",-年,0,655,行政財産
29,無形固定資産／その他,工業技術センター,圧力制御式液体濃縮方法および装置,特許権,福岡県筑紫野市上古賀３丁目,2013/03/29,"943,725",8年,"943,725",1,普通財産
30,無形固定資産／その他,工業技術センター,転写金型製造方法（出願時：転写金型製造方法及び転写金型）,特許権,福岡県筑紫野市上古賀３丁目,2013/06/14,"746,025",8年,"730,291",1,普通財産
